layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strength,elongation,sensor1_raw_mean,sensor1_raw_max,sensor1_raw_min,sensor1_raw_std,sensor2_raw_mean,sensor2_raw_max,sensor2_raw_min,sensor2_raw_std,sensor3_raw_mean,sensor3_raw_max,sensor3_raw_min,sensor3_raw_std,sensor4_raw_mean,sensor4_raw_max,sensor4_raw_min,sensor4_raw_std,sensor5_raw_mean,sensor5_raw_max,sensor5_raw_min,sensor5_raw_std
0.08,7,71,honeycomb,216,70,40,abs,0,50,26,1.3,528.2389054,529,528,0.175632398,536.9148362,538,538,0.155742917,541.9754318,543,541,0.115981547,550.6502178,551,550,0.203998483,546.6613924,547,546,0.136651925
0.12,3,46,honeycomb,217,70,40,abs,25,225,20,2.1,528.5135272,529,530,0.537861088,537.3069942,538,538,0.134488919,543.4899455,544,545,0.143492063,554.6615575,553,553,0.25121689,548.1030971,547,549,0.111760502
0.02,4,59,honeycomb,249,70,60,abs,100,51,10,0.6,534.3927629,529,528,1.755797142,539.3917142,538,536,0.258283528,546.735852,545,544,0.338621815,556.3280461,567,551,1.572821436,553.2989869,567,547,1.373519587
0.19,7,90,grid,215,70,60,pla,50,261,24,2.8,531.2057434,536,534,0.57454055,539.8766299,539,538,0.389897854,548.0030448,554,547,0.182286028,558.0449197,564,556,0.925076146,552.6669107,550,552,0.89645018
0.05,6,23,honeycomb,223,70,40,pla,50,24,30,3.2,528.2345291,529,528,0.667158352,536.9043845,538,538,0.214492581,541.8537977,543,541,0.202325555,550.548555,551,550,0.114144959,546.5288872,547,546,0.127759783
0.17,6,66,grid,250,80,60,abs,100,200,15,1.6,528.7317355,531,530,0.55291898,537.5871153,538,538,0.212399209,544.2172813,545,545,0.116697196,554.4121271,554,555,0.172844355,548.6765654,547,551,0.513215421
0.06,9,59,honeycomb,210,80,60,pla,100,33,33,2.4,528.8414242,529,528,0.365615107,537.3085148,538,536,0.198850938,543.4893793,543,541,0.486707049,554.2450894,560,550,0.18274375,548.3820702,549,547,0.218148994
0.12,9,42,honeycomb,208,70,120,pla,50,233,22,1.2,530.785661,537,529,1.129035763,538.3148435,539,538,0.675027349,545.6812363,548,545,0.657269481,556.0738162,569,553,0.961629273,550.8325015,563,549,1.339466626
0.1,9,82,grid,245,60,40,abs,50,291,33,0.8,528.4039849,529,528,1.166431393,536.9617812,538,536,0.216388264,542.2836689,543,542,0.130428982,551.2805005,552,550,0.16429946,547.0859494,547,546,0.562757572
0.04,5,47,honeycomb,230,65,40,abs,25,48,26,2.1,528.3341811,529,528,0.456685717,536.9630555,538,536,0.119658261,542.150125,543,541,0.13931062,550.8150674,551,550,0.148391091,547.0238221,548,546,0.147011795
0.11,9,62,grid,213,70,40,pla,75,153,25,1.1,529.1851505,529,529,0.544380547,537.743531,538,538,0.582485786,544.4657769,545,546,0.366059183,552.6653514,555,554,1.332303921,549.3228434,551,551,0.955191489
0.15,6,89,grid,227,65,40,abs,75,72,26,3.2,528.2486559,529,528,0.404585601,536.9792076,538,538,0.440138593,542.4424414,544,542,1.401049818,551.1517792,552,551,0.245351376,547.0086457,547,547,0.578166773
0.19,9,79,honeycomb,210,70,40,abs,50,323,13,3.1,534.0867839,545,533,1.110692696,540.5257435,541,538,0.593833153,548.6718974,559,547,2.163643117,558.9947758,570,556,0.672647338,554.1083619,564,552,0.777947545
0.15,7,89,grid,211,70,40,pla,75,200,25,1.6,528.2598421,529,528,0.139805514,536.9359074,538,538,0.142533509,542.1619036,543,542,0.118301541,551.267742,551,551,0.120059009,546.7764866,547,547,0.246434144
0.2,9,86,grid,224,70,120,abs,50,350,29,3.1,531.8472461,547,533,0.402493354,540.271818,539,538,0.85502002,548.2754927,555,547,0.369919156,556.6452594,557,556,0.556700915,553.442166,555,552,1.15136494
0.16,5,85,honeycomb,205,75,120,pla,75,350,18,1.4,536.4664323,536,534,0.65640847,541.4190519,540,538,0.770596957,549.3140627,557,547,1.174108604,558.9740222,568,556,1.047947091,555.3581247,566,552,1.503183645
0.12,7,72,grid,222,70,60,abs,75,223,9,1.0,528.2857604,529,528,0.516154429,536.9479161,538,538,0.124146927,542.2798274,543,542,0.119745805,551.3366225,551,551,0.117212807,546.8486743,547,547,0.32594578
0.08,5,83,grid,208,65,40,pla,25,225,7,1.7,531.8765136,535,531,0.302952413,539.4352388,539,536,0.205950461,546.854057,549,543,0.201060046,554.6809959,558,554,2.142833092,552.5930178,560,551,0.714319852
0.13,8,67,honeycomb,250,80,60,abs,100,187,20,1.7,530.2027427,532,530,0.602965766,538.2032519,538,538,0.201335888,545.1855394,545,545,0.179309903,552.2100208,551,554,0.160077803,550.1829558,550,550,0.526049042
0.18,5,62,honeycomb,223,80,60,abs,100,246,12,1.6,529.7520888,530,529,0.826406901,537.8870194,538,538,0.437276563,545.0761734,546,544,0.406051789,552.5505806,552,552,0.264555636,549.6784585,551,548,0.642475782
0.19,4,88,grid,204,65,40,pla,0,310,16,2.3,529.97702,534,532,0.575677112,538.1903817,539,538,0.403102691,546.0533713,550,547,0.700295281,552.721394,551,556,0.40819759,550.235043,548,552,2.041744078
0.06,6,48,honeycomb,201,60,40,pla,25,87,29,1.9,529.3408337,529,528,0.901676297,537.543259,538,536,0.171623816,543.8562646,543,542,0.140003133,554.9925096,566,550,0.211778087,548.9305806,553,547,0.296963552
0.05,10,74,honeycomb,205,65,40,pla,100,45,34,2.5,528.6224031,529,529,0.494887157,537.2106577,538,539,0.121792488,543.1227501,543,542,0.115574689,551.8184642,551,551,0.114420502,548.0231552,547,547,0.115112073
0.1,9,43,honeycomb,220,75,40,abs,100,77,26,2.5,529.1916628,529,528,0.474893198,537.2756856,538,536,0.190326009,543.0364881,543,541,0.293353641,552.9158529,561,550,0.140154355,548.2764164,555,546,0.214761632
0.06,10,34,honeycomb,228,75,60,abs,100,96,30,2.0,528.4995306,529,528,1.188603724,537.1878215,538,536,0.404286079,543.1157217,544,541,0.461760575,551.4508507,552,551,0.401834963,547.9105358,549,547,1.14758979
0.13,7,89,grid,202,60,40,pla,0,126,24,3.1,528.4052245,529,529,0.162627947,537.1016325,538,538,0.181602283,542.7550472,543,542,0.304122461,551.0288309,551,551,0.137778122,547.4391739,547,547,0.437437417
0.02,9,81,grid,202,65,60,pla,0,40,24,1.7,528.2345851,529,528,0.503527136,536.9037213,538,536,0.152076512,541.817632,543,541,0.241531996,550.5580718,551,550,0.201354859,546.5135476,547,546,0.202547702
0.04,10,12,honeycomb,218,75,60,pla,100,84,23,0.7,528.6044409,529,528,0.555921582,537.1432067,538,536,0.123517396,542.7984642,543,541,0.124651747,552.8335062,559,550,0.201065887,547.7445321,549,546,0.15347986
0.06,8,84,honeycomb,228,80,60,abs,100,97,12,0.7,529.6410833,529,529,0.533119884,537.7111785,538,539,0.130006268,544.4445845,544,544,0.123489274,552.3985432,553,552,0.637413764,549.3392108,550,548,0.743895272
0.09,8,88,grid,210,80,60,abs,75,216,14,0.7,528.8830597,529,530,0.187546798,537.3384846,538,539,0.126840406,543.8393212,543,544,0.1263773,554.1443246,552,552,0.211081665,548.558606,547,548,0.331303008
0.19,8,73,honeycomb,221,75,40,abs,50,180,24,2.7,528.9227488,529,531,0.161848218,537.9844032,538,538,0.181609562,544.7840019,544,546,0.128929399,552.8977295,551,554,0.1184031,549.4965058,547,551,0.155794886
0.11,10,84,grid,200,75,60,pla,100,164,15,1.5,528.8603064,529,531,0.14022439,537.5217893,538,538,0.11347426,544.2766092,544,544,0.13087691,553.3702855,551,554,0.205723129,548.8442589,547,551,0.554369914
0.2,8,88,honeycomb,235,75,40,abs,75,368,14,2.0,533.246441,534,534,0.216253465,540.4103089,539,538,0.440114877,548.4160894,552,547,0.325159675,554.0786002,551,556,0.434265017,553.7509784,552,552,1.313730955
0.08,10,71,grid,224,75,40,abs,25,50,18,1.2,529.2142922,531,531,0.975475338,537.8592912,539,538,0.447317864,545.0420065,548,546,0.389537238,553.2186829,552,556,1.615607432,549.9402378,547,552,0.594740355
0.1,6,76,grid,228,60,60,abs,0,218,23,1.4,528.2816265,529,529,0.400208791,536.9778101,538,536,0.284812924,542.425226,543,543,0.205271971,550.70693,551,551,0.410664484,547.115682,547,547,0.910404084
0.05,9,41,grid,202,75,60,pla,75,42,12,2.4,528.3229597,529,528,0.347340333,536.9707915,538,537,0.111830546,542.2807306,543,542,0.119950114,551.5948436,551,550,0.112652974,547.0275426,547,546,0.190530122
0.1,3,89,honeycomb,227,80,40,pla,100,197,5,1.0,528.3394407,529,529,0.189455195,537.011203,538,538,0.114575346,542.6672095,543,542,0.117833578,551.5514377,551,552,0.191787848,547.2317709,547,548,0.129321347
0.18,7,55,honeycomb,207,60,40,abs,0,210,28,2.5,532.5284087,534,533,0.275391041,540.3892516,539,538,0.725954258,548.2339581,554,547,0.374650596,555.5597558,555,556,1.067399834,553.7248466,558,552,0.78496509
0.12,10,89,grid,205,60,40,pla,25,187,33,2.8,528.2589101,529,528,0.426867926,536.9476336,538,539,0.305184435,542.2340368,543,542,0.278057713,550.6056902,551,551,0.129464433,546.8709037,547,547,0.277965626
0.08,8,35,grid,221,70,60,pla,50,159,25,2.0,528.305619,529,528,0.391437667,536.9961918,538,536,0.176293325,542.4254154,543,543,0.347798679,551.2323869,551,551,0.14204606,547.1408133,547,548,0.185019179
0.06,10,61,honeycomb,214,65,40,pla,50,74,20,1.7,528.2549663,529,528,0.40359236,536.9311101,538,536,0.121172565,542.1127629,543,541,0.169628329,550.8203841,551,550,0.11877919,546.8103538,547,546,0.159566254
0.1,6,16,grid,250,70,40,abs,50,96,14,0.7,529.1221944,529,528,1.162926331,537.134157,538,536,0.319345569,543.0660712,544,542,0.857275209,553.0423608,560,550,1.139499308,548.2619719,551,546,0.930243462
0.16,9,34,honeycomb,203,80,60,pla,100,322,20,2.1,529.5085087,530,530,0.429015737,537.8266002,538,536,0.925130886,545.1951679,546,545,1.740398921,553.383665,552,555,0.152531204,549.7505583,548,551,0.570696954
0.18,8,87,grid,203,65,120,pla,25,367,24,1.7,536.4959486,542,533,0.341603098,541.0255451,539,538,0.263118188,548.7303732,547,546,0.210505631,557.874066,558,556,0.432836235,554.8944229,557,552,0.524461883
0.06,5,12,grid,242,75,60,abs,50,39,9,0.7,529.9584065,533,529,0.799559687,537.6360821,538,538,0.379206571,544.3030921,544,542,0.139326826,552.5413662,553,551,1.075734647,549.4674461,551,547,0.312485252
0.13,6,67,honeycomb,209,80,40,abs,100,259,6,1.6,528.2451714,529,529,0.133621266,536.934054,538,538,0.109681904,542.144297,543,542,0.114870382,550.9618785,551,551,0.115364849,546.7250055,547,547,0.116285413
0.08,4,71,honeycomb,235,70,60,abs,25,124,6,1.2,528.8601265,534,530,0.661200739,537.6338928,538,538,0.462773973,544.4117321,545,543,0.205634534,551.5958718,551,555,0.529557768,548.9603921,547,552,1.1989439
0.18,10,57,grid,204,75,40,pla,75,267,22,2.9,528.8788311,529,531,0.140240582,537.8887811,539,538,0.207469733,545.0806273,549,547,0.6960846,554.0949187,553,556,0.247423651,549.2870636,547,552,0.504570971
0.06,9,90,honeycomb,216,65,40,pla,50,49,34,2.8,528.2346461,529,528,0.286936443,536.9052827,538,536,0.147412649,541.877263,543,541,0.151642545,550.5398745,551,550,0.400718436,546.5431698,547,546,0.406358395
0.15,9,44,grid,207,65,40,abs,25,212,29,2.4,532.492646,529,530,0.720845617,539.2491709,538,536,0.258715287,546.4820789,545,543,0.305722755,556.502192,563,553,0.384574434,552.2397929,556,549,0.292926824
0.19,10,87,grid,216,70,120,pla,25,239,34,2.2,530.2072303,538,531,0.549300808,538.4770183,538,538,0.697063721,546.1227287,547,547,0.309569996,554.1792578,555,555,0.262372598,550.6853482,551,552,0.924301665
0.15,9,72,grid,250,75,60,abs,75,259,16,1.7,530.7330895,530,529,0.524216913,538.626274,538,538,0.148798182,545.6141042,545,544,0.198973595,556.3541767,566,553,0.25081216,551.0355108,557,549,0.406550704
0.06,10,81,honeycomb,204,60,40,abs,25,61,31,3.1,528.2766329,529,528,0.347339167,536.943842,538,536,0.109752926,542.0874604,543,541,0.113919704,550.751091,551,550,0.132360532,546.8084284,547,546,0.137534163
0.08,7,66,grid,221,80,40,pla,75,219,19,1.2,529.0113408,529,528,0.211219489,537.3156889,538,536,0.120703833,543.2746956,543,543,0.147212835,551.3966743,551,551,0.151344221,548.3272137,548,547,0.205973768
0.19,9,90,grid,216,80,40,pla,100,280,16,2.3,528.6420376,529,530,0.133614328,537.3314644,538,538,0.184556135,543.473325,543,543,0.216251269,550.6903424,551,553,0.114133138,548.1119906,547,549,0.430691409
0.14,8,18,honeycomb,224,70,40,abs,50,252,8,0.7,528.6912793,542,529,0.23302501,537.400091,538,539,0.496583128,543.8656624,546,541,0.220580232,551.7213939,553,552,0.258766544,548.4045188,551,548,0.925849136
0.06,4,67,grid,202,60,60,pla,0,133,21,1.9,528.4393311,529,528,0.908583826,537.0830713,538,537,0.423764093,543.2051726,546,543,0.681000918,551.7610902,552,551,0.519157797,547.606432,547,548,0.747407214
0.14,10,85,honeycomb,206,65,40,pla,50,65,27,3.1,529.7526116,529,530,0.230876505,538.2726152,538,539,0.141878452,545.1432104,545,545,0.159910264,552.6347579,551,555,0.275713724,549.9804865,548,551,0.275625568
0.07,6,80,honeycomb,205,70,60,pla,50,241,31,3.0,529.665782,529,529,0.296664669,537.8263946,538,537,0.16000126,544.4948535,543,545,0.322793841,553.0449482,552,552,0.120861196,549.4671366,548,549,0.108741848
0.02,10,90,grid,235,75,40,abs,75,30,11,0.7,528.2358419,529,528,0.928647061,536.9039926,538,536,0.109831706,541.8316649,543,541,0.120513105,550.5543727,551,550,0.216515961,546.5351283,547,546,0.19797503
0.2,4,17,grid,235,75,40,abs,50,333,9,1.4,532.9034809,531,533,0.205002648,539.8519516,539,538,0.665926612,547.7737669,549,547,0.528716367,556.3570611,558,556,0.243023335,552.9766296,553,552,1.110649152
0.14,6,89,grid,203,65,60,pla,25,225,20,3.0,529.9209476,534,529,0.665000823,537.7101546,538,538,0.257663313,544.5415242,544,543,1.126382392,554.6643745,556,553,0.213932,549.2725657,548,549,0.813286694
0.03,7,60,grid,234,80,40,abs,100,52,21,1.2,529.2946417,529,528,2.049539129,537.451258,538,536,0.21712953,543.5924523,543,542,0.199936607,552.7545629,554,550,0.235702426,548.9045091,549,546,0.307141284
0.06,7,81,honeycomb,231,75,40,abs,50,191,17,2.5,528.5096546,530,529,0.397414933,537.3047256,538,539,0.12454063,543.7585946,545,544,0.196800168,550.8412092,551,554,0.683466537,547.96145,548,550,0.297320139
0.17,8,66,grid,228,70,60,abs,50,153,18,2.3,530.6228437,536,532,0.679320796,538.798643,539,538,0.940103591,546.6690725,551,547,1.382148389,553.8801595,553,556,0.49254528,551.5259941,552,552,1.091911864
0.17,10,82,grid,200,60,60,pla,25,340,34,2.6,530.2767551,535,530,1.110838425,538.2193351,539,539,0.882670911,545.9562781,548,545,1.301376489,553.5202377,553,555,0.548531376,550.6721088,551,551,1.624439296
0.2,5,42,honeycomb,212,60,120,abs,0,344,33,3.3,532.3709477,544,531,1.175949684,539.7435683,539,538,1.66317603,547.8726388,553,547,2.473552967,556.4961228,564,556,0.342901675,552.9562056,561,552,1.491448848
0.02,10,90,honeycomb,212,80,40,pla,75,29,15,0.7,528.2345277,529,528,0.386450713,536.9037496,538,536,0.265713717,541.8219272,543,541,0.174031484,550.5346697,551,550,0.807061824,546.5164849,547,546,0.331263184
0.05,5,24,honeycomb,218,70,40,pla,25,74,12,1.6,528.6193499,529,528,2.248143232,537.1277415,538,538,0.318869838,542.9484611,543,542,0.316303422,552.190789,556,550,0.387614435,547.6403844,549,547,0.400903011
